frame,people_count,crowd_level
seq_000001.jpg,34,Ramai
seq_000001_result.jpg,32,Ramai
seq_000002.jpg,32,Ramai
seq_000003.jpg,37,Ramai
seq_000004.jpg,34,Ramai
seq_000005.jpg,27,Sedang
seq_000006.jpg,28,Sedang
seq_000007.jpg,30,Sedang
seq_000008.jpg,29,Sedang
seq_000009.jpg,29,Sedang
seq_000010.jpg,30,Sedang
seq_000011.jpg,33,Ramai
seq_000012.jpg,38,Ramai
seq_000013.jpg,40,Ramai
seq_000014.jpg,43,Ramai
seq_000015.jpg,39,Ramai
seq_000016.jpg,36,Ramai
seq_000017.jpg,39,Ramai
seq_000018.jpg,36,Ramai
seq_000019.jpg,34,Ramai
seq_000020.jpg,36,Ramai
seq_000021.jpg,38,Ramai
seq_000022.jpg,37,Ramai
seq_000023.jpg,40,Ramai
seq_000024.jpg,38,Ramai
seq_000025.jpg,36,Ramai
seq_000026.jpg,35,Ramai
seq_000027.jpg,37,Ramai
seq_000028.jpg,40,Ramai
seq_000029.jpg,37,Ramai
seq_000030.jpg,33,Ramai
seq_000031.jpg,39,Ramai
seq_000032.jpg,36,Ramai
seq_000033.jpg,38,Ramai
seq_000034.jpg,38,Ramai
seq_000035.jpg,31,Ramai
seq_000036.jpg,36,Ramai
seq_000037.jpg,34,Ramai
seq_000038.jpg,29,Sedang
seq_000039.jpg,32,Ramai
seq_000040.jpg,27,Sedang
seq_000041.jpg,26,Sedang
seq_000042.jpg,27,Sedang
seq_000043.jpg,25,Sedang
seq_000044.jpg,22,Sedang
seq_000045.jpg,22,Sedang
seq_000046.jpg,20,Sedang
seq_000047.jpg,16,Sedang
seq_000048.jpg,18,Sedang
seq_000049.jpg,17,Sedang
seq_000050.jpg,16,Sedang
seq_000051.jpg,17,Sedang
seq_000052.jpg,14,Sedang
seq_000053.jpg,14,Sedang
seq_000054.jpg,15,Sedang
seq_000055.jpg,17,Sedang
seq_000056.jpg,23,Sedang
seq_000057.jpg,22,Sedang
seq_000058.jpg,21,Sedang
seq_000059.jpg,19,Sedang
seq_000060.jpg,18,Sedang
seq_000061.jpg,23,Sedang
seq_000062.jpg,21,Sedang
seq_000063.jpg,22,Sedang
seq_000064.jpg,22,Sedang
seq_000065.jpg,24,Sedang
seq_000066.jpg,26,Sedang
seq_000067.jpg,24,Sedang
seq_000068.jpg,24,Sedang
seq_000069.jpg,21,Sedang
seq_000070.jpg,20,Sedang
seq_000071.jpg,25,Sedang
seq_000072.jpg,25,Sedang
seq_000073.jpg,27,Sedang
seq_000074.jpg,25,Sedang
seq_000075.jpg,22,Sedang
seq_000076.jpg,19,Sedang
seq_000077.jpg,17,Sedang
seq_000078.jpg,17,Sedang
seq_000079.jpg,18,Sedang
seq_000080.jpg,15,Sedang
seq_000081.jpg,14,Sedang
seq_000082.jpg,15,Sedang
seq_000083.jpg,15,Sedang
seq_000084.jpg,16,Sedang
seq_000085.jpg,15,Sedang
seq_000086.jpg,15,Sedang
seq_000087.jpg,15,Sedang
seq_000088.jpg,12,Sedang
seq_000089.jpg,13,Sedang
seq_000090.jpg,16,Sedang
seq_000091.jpg,19,Sedang
seq_000092.jpg,19,Sedang
seq_000093.jpg,16,Sedang
seq_000094.jpg,16,Sedang
seq_000095.jpg,20,Sedang
seq_000096.jpg,16,Sedang
seq_000097.jpg,23,Sedang
seq_000098.jpg,22,Sedang
seq_000099.jpg,30,Sedang
seq_000100.jpg,33,Ramai
seq_000101.jpg,30,Sedang
seq_000102.jpg,28,Sedang
seq_000103.jpg,32,Ramai
seq_000104.jpg,33,Ramai
seq_000105.jpg,28,Sedang
seq_000106.jpg,35,Ramai
seq_000107.jpg,31,Ramai
seq_000108.jpg,23,Sedang
seq_000109.jpg,23,Sedang
seq_000110.jpg,19,Sedang
seq_000111.jpg,24,Sedang
seq_000112.jpg,23,Sedang
seq_000113.jpg,23,Sedang
seq_000114.jpg,22,Sedang
seq_000115.jpg,23,Sedang
seq_000116.jpg,21,Sedang
seq_000117.jpg,25,Sedang
seq_000118.jpg,27,Sedang
seq_000119.jpg,26,Sedang
seq_000120.jpg,26,Sedang
seq_000121.jpg,25,Sedang
seq_000122.jpg,26,Sedang
seq_000123.jpg,23,Sedang
seq_000124.jpg,25,Sedang
seq_000125.jpg,25,Sedang
seq_000126.jpg,28,Sedang
seq_000127.jpg,34,Ramai
seq_000128.jpg,28,Sedang
seq_000129.jpg,28,Sedang
seq_000130.jpg,31,Ramai
seq_000131.jpg,29,Sedang
seq_000132.jpg,26,Sedang
seq_000133.jpg,28,Sedang
seq_000134.jpg,25,Sedang
seq_000135.jpg,27,Sedang
seq_000136.jpg,21,Sedang
seq_000137.jpg,26,Sedang
seq_000138.jpg,24,Sedang
seq_000139.jpg,27,Sedang
seq_000140.jpg,22,Sedang
seq_000141.jpg,21,Sedang
seq_000142.jpg,24,Sedang
seq_000143.jpg,24,Sedang
seq_000144.jpg,26,Sedang
seq_000145.jpg,20,Sedang
seq_000146.jpg,24,Sedang
seq_000147.jpg,20,Sedang
seq_000148.jpg,20,Sedang
seq_000149.jpg,22,Sedang
seq_000150.jpg,23,Sedang
seq_000151.jpg,20,Sedang
seq_000152.jpg,19,Sedang
seq_000153.jpg,19,Sedang
seq_000154.jpg,18,Sedang
seq_000155.jpg,20,Sedang
seq_000156.jpg,23,Sedang
seq_000157.jpg,21,Sedang
seq_000158.jpg,21,Sedang
seq_000159.jpg,20,Sedang
seq_000160.jpg,16,Sedang
seq_000161.jpg,17,Sedang
seq_000162.jpg,19,Sedang
seq_000163.jpg,22,Sedang
seq_000164.jpg,25,Sedang
seq_000165.jpg,26,Sedang
seq_000166.jpg,25,Sedang
seq_000167.jpg,22,Sedang
seq_000168.jpg,21,Sedang
seq_000169.jpg,20,Sedang
seq_000170.jpg,19,Sedang
seq_000171.jpg,18,Sedang
seq_000172.jpg,19,Sedang
seq_000173.jpg,17,Sedang
seq_000174.jpg,17,Sedang
seq_000175.jpg,15,Sedang
seq_000176.jpg,15,Sedang
seq_000177.jpg,19,Sedang
seq_000178.jpg,18,Sedang
seq_000179.jpg,15,Sedang
seq_000180.jpg,18,Sedang
seq_000181.jpg,19,Sedang
seq_000182.jpg,18,Sedang
seq_000183.jpg,21,Sedang
seq_000184.jpg,23,Sedang
seq_000185.jpg,23,Sedang
seq_000186.jpg,27,Sedang
seq_000187.jpg,26,Sedang
seq_000188.jpg,23,Sedang
seq_000189.jpg,27,Sedang
seq_000190.jpg,27,Sedang
seq_000191.jpg,27,Sedang
seq_000192.jpg,23,Sedang
seq_000193.jpg,22,Sedang
seq_000194.jpg,21,Sedang
seq_000195.jpg,20,Sedang
seq_000196.jpg,21,Sedang
seq_000197.jpg,21,Sedang
seq_000198.jpg,23,Sedang
seq_000199.jpg,26,Sedang
seq_000200.jpg,26,Sedang
seq_000201.jpg,26,Sedang
seq_000202.jpg,27,Sedang
seq_000203.jpg,28,Sedang
seq_000204.jpg,24,Sedang
seq_000205.jpg,23,Sedang
seq_000206.jpg,23,Sedang
seq_000207.jpg,24,Sedang
seq_000208.jpg,26,Sedang
seq_000209.jpg,25,Sedang
seq_000210.jpg,26,Sedang
seq_000211.jpg,25,Sedang
seq_000212.jpg,21,Sedang
seq_000213.jpg,22,Sedang
seq_000214.jpg,21,Sedang
seq_000215.jpg,19,Sedang
seq_000216.jpg,22,Sedang
seq_000217.jpg,23,Sedang
seq_000218.jpg,24,Sedang
seq_000219.jpg,21,Sedang
seq_000220.jpg,22,Sedang
seq_000221.jpg,23,Sedang
seq_000222.jpg,22,Sedang
seq_000223.jpg,21,Sedang
seq_000224.jpg,19,Sedang
seq_000225.jpg,23,Sedang
seq_000226.jpg,25,Sedang
seq_000227.jpg,23,Sedang
seq_000228.jpg,25,Sedang
seq_000229.jpg,25,Sedang
seq_000230.jpg,22,Sedang
seq_000231.jpg,20,Sedang
seq_000232.jpg,19,Sedang
seq_000233.jpg,19,Sedang
seq_000234.jpg,23,Sedang
seq_000235.jpg,24,Sedang
seq_000236.jpg,28,Sedang
seq_000237.jpg,26,Sedang
seq_000238.jpg,23,Sedang
seq_000239.jpg,23,Sedang
seq_000240.jpg,26,Sedang
seq_000241.jpg,25,Sedang
seq_000242.jpg,24,Sedang
seq_000243.jpg,24,Sedang
seq_000244.jpg,23,Sedang
seq_000245.jpg,20,Sedang
